Date (GMT+1),Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-08T13:00+01:00,32168.17947,38136.07801,97.2
2025-01-08T14:00+01:00,32274.14333,34486.19606,110.19
2025-01-08T15:00+01:00,31591.44544,31184.56569,127.8
2025-01-08T16:00+01:00,31790.66318,30993.96,135.82
2025-01-08T17:00+01:00,31944.94025,31062.04536,155.46
2025-01-08T18:00+01:00,31922.42378,30187.25081,149.23
2025-01-08T19:00+01:00,31279.81093,29189.55489,146.48
2025-01-08T20:00+01:00,30853.20145,26994.12606,136.86
2025-01-08T21:00+01:00,29242.55497,24966.40402,127.86
2025-01-08T22:00+01:00,27364.09939,23504.0956,115.92
2025-01-08T23:00+01:00,25819.10493,22809.00269,103.59
2025-01-09T00:00+01:00,25207.95818,22150.27728,101.44
2025-01-09T01:00+01:00,24891.69759,21529.61872,100
2025-01-09T02:00+01:00,25024.3531,20501.81631,98.77
2025-01-09T03:00+01:00,25532.40252,20439.37473,95.22
2025-01-09T04:00+01:00,26247.21172,20890.25178,98.28
2025-01-09T05:00+01:00,28161.33452,20583.86887,102.65
2025-01-09T06:00+01:00,32404.48754,20213.35932,133.54
2025-01-09T07:00+01:00,34127.92047,19614.09202,148.8
2025-01-09T08:00+01:00,35124.92017,19747.49039,164.88
2025-01-09T09:00+01:00,35614.0705,22223.89443,156.15
2025-01-09T10:00+01:00,35123.65377,24627.93801,147.64
2025-01-09T11:00+01:00,34878.84448,26258.07566,140.21
2025-01-09T12:00+01:00,34166.75051,25605.96785,128.18
2025-01-09T13:00+01:00,34142.56029,25329.65551,121.15
2025-01-09T14:00+01:00,33952.8354,24618.28039,123.95
2025-01-09T15:00+01:00,33578.74987,25482.67533,127.53
2025-01-09T16:00+01:00,33243.45911,28415.06253,123.75
2025-01-09T17:00+01:00,33414.09303,30737.863,130.91
2025-01-09T18:00+01:00,33726.69545,32837.90374,134.75
2025-01-09T19:00+01:00,33090.3006,34362.62364,125.44
2025-01-09T20:00+01:00,30394.76157,35193.14882,119.23
2025-01-09T21:00+01:00,27693.91899,35705.24592,104.99
2025-01-09T22:00+01:00,26822.83595,35880.01225,101.1
2025-01-09T23:00+01:00,25279.25869,36635.64717,88.19
2025-01-10T00:00+01:00,22530.7596,37954.93972,84.79
2025-01-10T01:00+01:00,20987.70766,39014.33179,80.23
2025-01-10T02:00+01:00,19831.73064,39460.13144,71.29
2025-01-10T03:00+01:00,19103.01652,38987.68516,69.05
2025-01-10T04:00+01:00,20766.3046,38093.65593,69.89
2025-01-10T05:00+01:00,22867.86074,37208.88952,83.9
2025-01-10T06:00+01:00,26798.73497,37582.41004,99.09
2025-01-10T07:00+01:00,29565.9185,36288.93692,123.92
2025-01-10T08:00+01:00,30327.48103,35823.23714,139.47
2025-01-10T09:00+01:00,30485.59092,36645.01027,136.92
2025-01-10T10:00+01:00,30159.64867,38763.71356,123.57
2025-01-10T11:00+01:00,29942.57746,39529.94537,113.59
2025-01-10T12:00+01:00,29437.01029,39847.2895,107.43
2025-01-10T13:00+01:00,28522.60578,39224.77892,105.01
2025-01-10T14:00+01:00,28979.00343,36307.04989,110.01
2025-01-10T15:00+01:00,30129.88799,31926.05196,128.69
2025-01-10T16:00+01:00,30874.14831,29321.28433,134.87
2025-01-10T17:00+01:00,30997.09332,29064.2245,142.56
2025-01-10T18:00+01:00,30985.74365,29399.63056,144.12
2025-01-10T19:00+01:00,30565.39014,28372.29162,141.05
2025-01-10T20:00+01:00,30269.76188,27571.30334,134.82
2025-01-10T21:00+01:00,29925.77265,27127.27072,122.51
2025-01-10T22:00+01:00,28602.33954,25961.78336,119.77
2025-01-10T23:00+01:00,26918.01022,25243.26218,111.71
2025-01-11T00:00+01:00,24998.17251,24324.76549,106.64
2025-01-11T01:00+01:00,24724.41765,24837.37817,98.99
2025-01-11T02:00+01:00,23865.59722,25636.01936,95.71
2025-01-11T03:00+01:00,23180.90022,26146.80329,89.45
2025-01-11T04:00+01:00,23040.65188,26728.91329,88.35
2025-01-11T05:00+01:00,23905.45759,26723.04174,88.4
2025-01-11T06:00+01:00,24697.50554,27874.56607,88.13
2025-01-11T07:00+01:00,25316.85817,28881.89036,94.68
2025-01-11T08:00+01:00,25651.5167,30449.11269,107.65
2025-01-11T09:00+01:00,26659.82398,32863.75184,103.14
2025-01-11T10:00+01:00,27135.83365,36362.01125,101.13
2025-01-11T11:00+01:00,26899.61118,39303.32969,99.56
2025-01-11T12:00+01:00,26700.0199,39540.33323,96.74
2025-01-11T13:00+01:00,27362.66363,39017.50914,93.15
2025-01-11T14:00+01:00,27985.35474,38150.72991,94.9
2025-01-11T15:00+01:00,28301.69002,36870.93521,104.89
2025-01-11T16:00+01:00,28351.42324,36542.68734,112.12
2025-01-11T17:00+01:00,27743.00615,37211.39886,119.8
2025-01-11T18:00+01:00,27777.08913,36909.71482,122.34
2025-01-11T19:00+01:00,26575.90018,36249.79445,114.85
2025-01-11T20:00+01:00,26013.45713,34766.81238,111.19
2025-01-11T21:00+01:00,26056.67637,33165.55856,104.8
2025-01-11T22:00+01:00,25814.93562,30519.3211,103.07
2025-01-11T23:00+01:00,25584.48378,28236.01946,105.69
2025-01-12T00:00+01:00,23832.95724,28126.97115,83.58
2025-01-12T01:00+01:00,23500.68122,26891.47314,83.79
2025-01-12T02:00+01:00,22822.99928,26154.31554,86.75
2025-01-12T03:00+01:00,22399.44113,26433.91706,84.2
2025-01-12T04:00+01:00,21604.88148,26628.10864,85
2025-01-12T05:00+01:00,21871.136,26177.10089,83.75
2025-01-12T06:00+01:00,23322.78879,24554.59993,85.9
2025-01-12T07:00+01:00,24836.34158,22481.49537,101.75
2025-01-12T08:00+01:00,25435.37878,21258.24272,114.67
2025-01-12T09:00+01:00,26286.13533,22566.62742,120.07
2025-01-12T10:00+01:00,26646.81198,25397.24955,117.77
2025-01-12T11:00+01:00,26754.59824,27957.69357,105.61
2025-01-12T12:00+01:00,26155.47405,29161.39808,102.99
2025-01-12T13:00+01:00,24863.5948,29100.44955,99.61
2025-01-12T14:00+01:00,25123.31743,25938.37834,104.74
2025-01-12T15:00+01:00,27431.54744,19641.78917,118.7
2025-01-12T16:00+01:00,29810.55239,14643.52587,132.92
2025-01-12T17:00+01:00,30861.51505,13980.10967,141
2025-01-12T18:00+01:00,31141.62809,13566.87231,146.66
2025-01-12T19:00+01:00,31258.74252,13346.99053,143.66
2025-01-12T20:00+01:00,31440.57288,12513.24333,134.86
2025-01-12T21:00+01:00,31164.04048,11351.12929,127.49
2025-01-12T22:00+01:00,29872.9975,10377.60391,121.2
2025-01-12T23:00+01:00,28594.73103,9459.576973,114.9
2025-01-13T00:00+01:00,27304.0039,9187.817948,112.39
2025-01-13T01:00+01:00,26767.07598,9215.426639,105.07
2025-01-13T02:00+01:00,26713.06623,9543.46409,104.46
2025-01-13T03:00+01:00,26680.58277,10382.06585,100.37
2025-01-13T04:00+01:00,26906.14036,11934.00222,100
2025-01-13T05:00+01:00,28668.11025,12835.41945,110.11
2025-01-13T06:00+01:00,33087.14302,12949.64024,140.28
2025-01-13T07:00+01:00,35537.56438,13556.80026,181.92
2025-01-13T08:00+01:00,36636.16497,15421.8205,223.09
2025-01-13T09:00+01:00,35912.49625,21224.31405,174.09
2025-01-13T10:00+01:00,34565.23629,28452.57919,141.69
2025-01-13T11:00+01:00,33318.32127,33928.82395,115.73
2025-01-13T12:00+01:00,32202.73482,36259.27599,104.1
